Cod.,Ativo,3. Idade,4. Genero,5. Regiao,6. Estado,7. Cidade,8. Religiao,Religiao_codificado(8),9. Vinculo,10. Nome_da_ONG,11. Nome_da_CEUA,CEUA_unificada(11),12. Instituicao,13. Departamento,14. Natureza_Inst,15. Representante_SPA,16. Quant_membros_CEUA,17. No_licencas_recusadas,18. No_consultores_adhoc,19. Freq_cursos,20. Outros_encontros,21. Metodo_decisao,22. Periodicidade_das_reunioes,23. SPA_assume_relatoria,24. Opiniao_SPA_deve_assumir_relatoria,25. Justifique_dever_assumir_relatoria_aberta,Justifique_dever_assumir_relatoria_codificado(25),26. SPA_deve_ter_formacao,27. Justifique_SPA_deve_ter_formacao_aberta,Justifique_SPA_deve_ter_formacao_aberta_codificado(27),28. Papel_na_CEUA,Papel_na_CEUA_codificado(28),29. Area_formacao_academica,Area_formacao_academica_unificado(29),30. Escolaridade,31. Area_em_que_usa_animais_lista,32. Funcao_administrativa_na_CEUA,Funcao_administrativa_na_CEUA_codificado(32),33. Tempo_de_CEUA,"tempo_de_CEUA_em_anos_avg(33,34)",34. Tempo_de_CEUA_acima_4_anos,35. Conhecimento_formal_em_etica_escala,36. Ensino_de_etica_na_sua_formação_escala,37. Ensino_de_bem-estar_animal_na_sua_formacao_escala,38. Disciplinas_cursadas_na_graduacao_lista,Disciplinas_cursadas_no_Mestrado_lista,Disciplinas_cursadas_no_Doutorado_lista,Disciplinas_cursadas_na_Especialização_lista,Disciplinas_cursadas_em_Curso_de_Extensão_lista,39. Aptidao_para_avaliacoes_eticas_escala,40. Aptidao_para_avaliacoes_de_bem-estar_animal_escala,41. Dificuldade_em_compreender_protocolos,42. Necessidade_de_uso_de_modelos_animais_escala,43. Necessidade_de_uso_de_animais_na_alimentacao_escala,44. Experimentacao_animal_e_um_mal_necessario,45. Justifique_experimentacao_animal_ser_mal_necessario_aberta,Justifique_experimentacao_animal_ser_mal_necessario_codificado(45),46. Experimentos_cientificos_implicam_sofrimento_animal_escala,47. Na_avaliacao_de_danos_e_beneficios_o_que_e_importante_aberta,Na_avaliacao_de_danos_e_beneficios_o_que_e_importante_codificada(47),48. Formas_aceitaveis_de_uso_de_animais_lista,49. Grau_de_sofrimento_dos_animais_escala,50. Vegano_ou_vegetariano_binario,"51. Termos_sobre_o_papel_dos_animais
_fechada",52. Termo_sobre_o_papel_dos_animais_aberta,53. Vontade_para_manifestar_posicionamento,54. Sente-se_discriminado_nas_reunioes,55. Suas_colocacoes_sao_respeitadas,56. Ha_resistencia_as_suas_propostas,57. Demais_membros_atribuem_o_mesmo_nivel_de_preocupacao,58. Sente-se_estressado_nas_reunioes,59. Receio_de_aceitar_ou_rejeitar_protocolo,60. Membros_tem_receio_de_rejeitar_protocolos,61. Ao_avaliar_projeto_de_membro_ele_deve_se_ausentar,62. Membros_que_pesquisam_com_modelos_animais_minimizam_o_sofrimento_deles,63. O_quanto_a_CEUA_se_baseia_no_principio_dos_3Rs_escala,64. Comentario_sobre_CEUAs
241,True,Entre 31 e 40 anos,Feminino,Sudeste,MG,Machado,Cristã protestante,3,Não,,CEUA/IFSULDEMINAS,IFSULDEMINAS,IFSULDEMINAS,Reitoria,Pública,"Sim, titular e suplente",Entre 10 e 14,0,2,Raramente,Nunca,Votação e consenso,Uma vez por mês,Sim,Sim,Considerando a natureza do projeto as qualificiações técnicas do representante da Sociedade Protetora dos Animais pode apresentar qualificações necessárias para se manifestar.,3,Sim,Para que possam contribuir com a avaliação de propostas seria importante.,1,Pesquisador(a),7,Medicina Veterinária,Veterinária,Doutorado,"Ensino, Pesquisas agropecuárias, Pesquisa aplicada",Coordenador,1,De 2 anos a 2 anos e meio,2.25,,3,3,4,"Bem-estar animal, Etologia",Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Não fiz essa modalidade acadêmica,Não fiz essa modalidade acadêmica,4,5,Raramente,3,5,Não,"Pergunta mal formulada. A experimentação animal possui inúmeros ramos e em alguns deles não chega nem perto de ser um mal, pelo contrário, chega a ser um benefício. Existem avanços e tecnologias dentro deste ramo que permitem a utilização de animais em diversas áreas sem absolutamente nenhum prejuízo ao bem estar, como, por exemplo, estudos de desempenho animal na área zootécnica. ""Experimentação animal"" abre um leque de opções muito amplo e diversificado, portanto a questão pode ser interpretada de inúmeras formas diferentes baseada na concepção prévia da pessoa que está respondendo ao questionário.",1,0,"O conhecimento de técnicas alternativas, o número de animais utilizados na pesquisa, o grau de importância das informações a serem obtidas.",7,"Produção de alimentos/agropecuária, Entretenimento (rodeio, vaquejada, corridas, etc), Testes de cosméticos e produtos de higiene pessoal, Pesquisa aplicada, Ensino, Esportes, Zoológico, Pesquisas agropecuárias",0,Não,Participantes de pesquisa,,4,Raramente,Constantemente,Raramente,Constantemente,Raramente,Nunca,Nunca,Não,Não tenho opinião sobre isso,4,
242,True,Entre 21 e 30 anos,Feminino,Nordeste,BA,Feira de Santana,Catolicismo,2,Não,,CEUA LABOVET,LABOVET,Labovet Produtos Veterinários Ltda,Labovet Produtos Veterinários,Comercial,Não há representante da sociedade protetora de animais,Entre 10 e 14,0,20 ou mais,Frequentemente,Frequentemente,Votação e consenso,Uma vez por mês,Não há representante da sociedade protetora de animais,Sim,"O representante da sociedade protetora dos animais precisa ter senso crítico sobre pesquisa, precisa ter capacidade de compreender a elaboração e aplicação de um projeto. Com essas atribuições será possível sim que o representante da sociedade protetora dos animais possa assumir a relatoria dos protocolos como os demais membros da CEUA.",3,Sim,"O protocolo da CEUA é um projeto de pesquisa, ou seja, deve ser avaliado por pessoas que consigam compreender como funciona uma pesquisa. Considerando que durante a formação as pessoas têm contato com pesquisa, é mais fácil para estas pessoas entenderem o real objetivo de protocolo. O entendimento do protocolo é essencial para aprovação do projeto, pois só assim é possível verificar se o projeto realmente é necessário,   é possível fazer contribuições ou dar alternativas.",1,Farmacêutica,6,Farmacêutica,Farmácia,Graduação,Não uso animais,Não ocupo nenhuma função administrativa,2,De 1 ano a 1 ano e meio,1.25,,5,5,3,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,5,3,Nunca,2,2,Sim,"Infelizmente a própria legislação regulatória exige estudos em espécies animais, mas deve-se sempre considerar a real necessidade de utiliza-los, considerando métodos substitutivos e redução da quantidade de animais utilizada.
Citando um exemplo atual, a utilização de animais foi necessária para o desenvolvimento da vacina contra a Covid 19, que está trazendo benefícios para toda a população. A questão principal para mim é sobre como os estudos são conduzidos, o nível de dor e sofrimento que estes animais estão passando. Neste caso entra a metodologia do estudo, a redução do número de animais utilizados, a previsão por estudos in sílico e in vitro sobre como o produto/substancia age no animal. A utilização dos animais é indispensável para o avanço da ciência, mas este uso precisa ser minimizado.",7,3,"Deve-se restringir o uso de animais. As entidades regulatórias poderiam consideram estudos substitutivos como pesquisa bibliográficas, in silico e in vitro em alguns casos, e permitir uso de animais em casos específicos.",4,"Produção de alimentos/agropecuária, Testes regulatórios de exposição a substâncias e materiais, Testes de toxicidade, Pesquisa aplicada, Pesquisas agropecuárias",2,Não,Participantes de pesquisa,,5,Nunca,Frequentemente,Raramente,Constantemente,Raramente,Nunca,Nunca,Não,Não tenho opinião sobre isso,5,
243,True,Entre 51 e 60 anos,Feminino,Nordeste,BA,Feira de Santana,Catolicismo,2,Não,,CEUA-LABOVET,LABOVET,Labovet Produtos Veterinários Ltda,Labovet Produtos Veterinários Ltda,Comercial,Não há representante da sociedade protetora de animais,Entre 10 e 14,0,20 ou mais,Frequentemente,Frequentemente,Votação e consenso,Uma vez por mês,Não há representante da sociedade protetora de animais,Não tenho opinião sobre isso,"Não temos experiência sobre a presença do membro da sociedade protetora avaliando protocolos de pesquisa. Mas acredito que sendo um membro com conhecimento técnico, poderia ser discutido com a comissão essa possibilidade.",3,Sim,Se for para ser avaliador acredito ser necessário essa formação.,1,Consultor Ad-hoc,2,Medicina Veterinária,Veterinária,Doutorado,"Ensino, Vacinas/imunologia, Pesquisas agropecuárias",Não ocupo nenhuma função administrativa,2,De 2 anos a 2 anos e meio,2.25,,5,5,5,"Bem-estar animal, Bioética, Etologia, Ética em pesquisa, Direitos dos animais","Bioética, Ética em pesquisa","Bioética, Ética em pesquisa",Bioética,Bem-estar animal,5,5,Raramente,4,4,Sim,"Ainda se faz necessário o uso de experimentação animal para testes de segurança e eficácia de produtos farmacêuticos e biológicos. No entanto, comungo da ideia de realização de mais testes in vitro, sobretudo quando se trata de drogas conhecidas e largamente testadas.",7,1,"Conforme resposta ao item anterior, considero desnecessário a realização de testes in vivo quando se trata de avaliar drogas ou imunobiológicos largamente conhecidos e estudados. Nesses casos considero danoso o uso da experimentação animal de forma continuada.",8,"Produção de alimentos/agropecuária, Testes regulatórios de produtos alimentícios, Testes de toxicidade, Pesquisa aplicada, Ensino, Zoológico, Pesquisas agropecuárias",1,Não,Participantes de pesquisa,,5,Nunca,Frequentemente,Nunca,Frequentemente,Raramente,Nunca,Nunca,Sim,Frequentemente,5,Acredito ser de suma importância a implantação das CEUA´s em instituições de ensino e privado. A presença de membros com formação acadêmica multidisciplinar é muito importante para que possa ser discutidos os protocolos de forma ampla e aberta.
244,True,Entre 41 e 50 anos,Feminino,Sudeste,MG,Alfenas,Catolicismo,2,Não,,CEUA BIOTRAN,BIOTRAN,BIOTRAN LTDA,Setor de consultoria e prestação de serviços,Comercial,"Sim, apenas titular",Entre 5 e 9,0,20 ou mais,Nunca,Nunca,Só consenso,uma vez a cada 3 meses,Sim,Não,Eles participam muito pouco das atividades e não conhecem bem as atividades desenvolvidas,2,Sim,"Para julgar trabalhos científicos, eles precisam ter um conhecimento de nível superior",1,Médico(a) Veterinário (a),5,Medicina Veterinária,Veterinária,Doutorado,"Testes de drogas, Testes toxicológicos, Vacinas/imunologia, Pesquisas agropecuárias, Pesquisa aplicada",Coordenador,1,Acima de 4 anos,3,Desde 2018,3,4,4,Filosofia moral,Nenhuma dessas disciplinas,Bem-estar animal,Nenhuma dessas disciplinas,"Bem-estar animal, Bioética, Etologia",4,4,Nunca,5,5,Não,A experimentação animal é essencial a presença do organismo vivo para obter resultados o mais fidedigno possível,7,0,"Verificar os níveis de hormônios de estresse ou verificar índices zootécnicos, pois se os animais apresentam bons índices zootécnicos, implica em baixo nível de estresse",6,"Produção de alimentos/agropecuária, Testes de cosméticos e produtos de higiene pessoal, Testes regulatórios de produtos alimentícios, Testes regulatórios de exposição a substâncias e materiais, Testes de toxicidade, Pesquisa básica, Pesquisa aplicada, Ensino, Pesquisas militares, Zoológico, Pesquisas agropecuárias",0,Não,Sujeitos de pesquisa,,5,Nunca,Constantemente,Nunca,Constantemente,Nunca,Nunca,Nunca,Não,Nunca,5,"As CEUAs apesar de possuírem e exigirem a participação de representantes de ONGs, esses raramente participam ou possuem conhecimento adequado para participar"
245,True,Entre 41 e 50 anos,Feminino,Sudeste,RJ,Rio de Janeiro,Catolicismo,2,Não,,CEUA/UFF,UFF_PROPPI,UNIVERSIDADE FEDERAL FLUMINENSE,PROPPI,Pública,"Sim, apenas titular",20 ou mais,6,0,Não sei dizer,Nunca,"Votação, Avaliação de Projetos e Relatórios",Uma vez por mês,Não,Não,"Fora a questão da falta de capacitação em Experimentação Animal , julgo que uma pessoa da Sociedade talvez não tenha condições de avaliar tecnicamente um Projeto de Pesquisa.",1,Não,Não vejo necessidade de ter formação superior para lutar por uma causa e ser bem esclarecido a respeito.,3,Pesquisador(a),7,Farmácia,Farmácia,Doutorado,Não uso animais,Não ocupo nenhuma função administrativa,2,De 1 ano a 1 ano e meio,1.25,,4,3,3,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,"Bem-estar animal, Ética animal, Ética em pesquisa, Direitos dos animais",Nenhuma dessas disciplinas,"Bem-estar animal, Bioética, Ética animal, Ética em pesquisa, Direitos dos animais",4,4,Raramente,5,4,Sim,"Alguns estudos dependem de modelo experimental animal, no entanto nem sempre os resultados conseguem ser transferidos para o ser humano por escolha incorreta do modelo experimental.",7,5,"Fundamentação científica para o modelo animal escolhido, calculo amostral adequado, Fundamentação teórica adequada.",2,"Produção de alimentos/agropecuária, Testes de toxicidade, Pesquisa aplicada, Vestuário",3,Não,Sujeitos de pesquisa,,5,Nunca,Constantemente,Nunca,Constantemente,Nunca,Nunca,Nunca,Não,Nunca,3,
246,True,Entre 61 e 70 anos,Masculino,Sudeste,SP,Ribeirão Preto,Catolicismo,2,Não,,Comissão de Ética em Pesquisa Animal,UNAERP,UNAERP - Universidade de Ribeirão Preto,"COORDENADORIAS DA DIRETORIA DE ENSINO,PESQUISA E EXTENSÃO - DEPE",Privada,Não há representante da sociedade protetora de animais,Entre 5 e 9,Não sei dizer,Não sei dizer,Raramente,Raramente,Votação e consenso,Uma vez por mês,Não há representante da sociedade protetora de animais,Não,"O representante da sociedade deve ser um pesquisador, portanto saber das regras que fazem parte de uma pesquisa e seus cuidados com os animais.",3,Sim,"Acredito que com a experiência de pesquisa, o representante pode responder as leis e determinações que o Conselho Nacional de Pesquisa determina.",1,Pesquisador(a),7,BIomedicina,Biomedicina,Doutorado,Pesquisa básica,Não ocupo nenhuma função administrativa,2,Entre 1 ano e meio e 2 anos,1.75,,4,5,5,Ética animal,Ética em pesquisa,Ética em pesquisa,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,4,4,Raramente,3,3,Não sei dizer,Não tenho opinião formada sobre isso.,0,0,Conhecimento!,1,"Pesquisa básica, Pesquisa aplicada",0,Não,Sujeitos de pesquisa,,5,Nunca,Frequentemente,Nunca,Constantemente,Nunca,Nunca,Nunca,Não,Não tenho opinião sobre isso,5,
247,True,Entre 31 e 40 anos,Feminino,Centro-oeste,GO,Pires do Rio,Sem religião,5,Não,,CEUA - IF GOIANO,IFGOIANO,Instituto Federal Goiano - Campus Urutaí,Instituto Federal Goiano - Campus Urutaí,Pública,"Sim, titular e suplente",Entre 10 e 14,Não sei dizer,Não sei dizer,Raramente,Raramente,Votação e consenso,Uma vez por mês,Sim,Sim,"A relatoria pode ser feita por qualquer pessoa que faça parte da comissão, a decisão final passará pelo aval de toda a comissão que é constituída por membros com conhecimento técnico nas diferentes áreas, sem haver chance de uma decisão ser unilateral.",6,Não,"Representante da sociedade protetora deve ser alfabetizado(a), tendo capacidade de leitura e interpretação de texto, bem como conhecimento acerca de legislação básica relacionado aos direitos dos animais. Aspectos técnicos deverão passar pela avaliação de membros da comissão com conhecimento técnico da área",3,Médico(a) Veterinário (a),5,Medicina Veterinária,Veterinária,Doutorado,"Ensino, Testes de drogas, Pesquisa aplicada",Não ocupo nenhuma função administrativa,2,De 2 anos a 2 anos e meio,2.25,,2,1,0,Nenhuma dessas disciplinas,"Bem-estar animal, Bioética, Ética animal, Ética em pesquisa",Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,"Bem-estar animal, Bioética",3,5,Frequentemente,5,3,Não,"em algumas situações não é necessário, mas considero que outras situações ainda não conseguimos substituir o uso de animais e sim, garantir o bem-estar dos mesmos minimizando ou excluindo ações desnecessárias.",6,4,é importante que se atente os membros do CEUA se atentem à legislação e diretrizes do CONCEA,7,"Produção de alimentos/agropecuária, Testes de toxicidade, Pesquisa aplicada, Ensino",4,Não,Objetos de pesquisa,,4,Nunca,Constantemente,Nunca,Frequentemente,Raramente,Nunca,Raramente,Sim,Frequentemente,5,Precisamos estabelecer estratégias que demonstrem a importancia do CEUA para cada instituição. As pessoas desconhecem. Estamos fazendo um trabalho de divulgação mas não é suficiente.
248,True,Entre 51 e 60 anos,Feminino,Sudeste,SP,Atibaia,Sem religião,5,Não,,Comite de Ética em Uso de Animais/USF,USF,Universidade São Francisco,Universidade São Francisco,Privada,"Sim, titular e suplente",Entre 10 e 14,Não sei dizer,Não sei dizer,Raramente,Nunca,Consenso e votação,A cada quinze dias,Não,Sim,"O membro leigo tem o mesmo poder de opinião que os demais, apenas ponto de vista distintos",6,Não,Não é necessário para ter tato Ético e a discussão pode ser compartilhada entre os membros,3,Pesquisador(a),7,Medicina,Medicina,Pós doutorado,"Testes de drogas, Diagnóstico de doenças, Pesquisa básica",Não ocupo nenhuma função administrativa,2,Acima de 4 anos,8,8 anos,5,1,0,Nenhuma dessas disciplinas,"Ética animal, Ética em pesquisa",Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,"Bem-estar animal, Bioética, Ética animal, Ética em pesquisa",4,4,Raramente,4,4,Não,A experimentação animal guarda seu lugar enquanto tecnicas aprimoradas  para substituição completa não estão disponíveis.,6,1,"Critérios claros de sofrimento animal, clinicos e comportamentais devem ser exigidos, assim como medidas de diminuição de dor e de endpoints adequados",6,"Produção de alimentos/agropecuária, Pesquisa básica",1,Não,Sujeitos de pesquisa,,5,Nunca,Constantemente,Nunca,Constantemente,Raramente,Nunca,Nunca,Sim,Nunca,5,
249,True,Entre 51 e 60 anos,Masculino,Sudeste,MG,Lavras,Catolicismo,2,Não,,Comissao de Bioetica Animal,UFLA,UFLA,Faculdade de Zootecnia e Medicina Veterinária da UFLA,Pública,"Sim, titular e suplente",Entre 15 e 19,Não sei dizer,Não sei dizer,Frequentemente,Constantemente,Votação e consenso,Uma vez por mês,Sim,Sim,"Considerando que todas as relatorias são participadas a todos os membros e as decisões ocorrem também por consenso, não vejo problema.",6,Sim,Para um adequado nivelamento em conhecimentos e conceitos técnicos-científicos,1,Docente,3,Zootecnia,Zootecnia,Pós doutorado,Pesquisa aplicada,Não ocupo nenhuma função administrativa,2,De 2 anos a 2 anos e meio,2.25,,5,5,4,"Bioética, Etologia, Ética animal, Ética em pesquisa, Direitos dos animais","Bem-estar animal, Etologia, Ética em pesquisa","Bem-estar animal, Etologia, Ética animal, Ética em pesquisa, Direitos dos animais","Bem-estar animal, Bioética, Etologia, Ética animal, Ética em pesquisa, Filosofia moral, Direitos dos animais","Bem-estar animal, Bioética, Etologia, Ética animal, Ética em pesquisa, Filosofia moral, Direitos dos animais",5,5,Raramente,5,5,Não,"Em algumas linhas de pesquisa e seu consequente avanço mais dinâmico, é necessário o uso de animais. Considerando que na área de agropecuária via de regra se aproveita o animal para consumo, não vejo prejuízo moral nem ético.",7,1,recursos científicos que contornem o sofrimento dos animais e um amplo uso da ética,6,"Produção de alimentos/agropecuária, Pesquisa básica, Pesquisa aplicada, Ensino, Zoológico, Pesquisas agropecuárias",1,Não,"Instrumentos essenciais em muitas pesquisas, nem todas.","Instrumentos essenciais em muitas pesquisas, nem todas.",5,Nunca,Constantemente,Raramente,Frequentemente,Raramente,Nunca,Nunca,Sim,Raramente,5,
250,True,Entre 41 e 50 anos,Masculino,Centro-oeste,DF,Brasília,Catolicismo,2,Não,,Comissão de Ética no Uso e Bem Estar Animal da Embrapa Recursos Genéticos e Biotecnologia,EMBRAPA_RECURSOS GENÉTICOS,Embrapa Recursos Genéticos e Biotecnologia,Embrapa Recursos Genéticos e Biotecnologia,Pública,Não há representante da sociedade protetora de animais,Entre 10 e 14,Não sei dizer,Não sei dizer,Raramente,Nunca,Votação e consenso,Uma vez por mês,Não há representante da sociedade protetora de animais,Sim,A visão externa a de pessoas da instituição é fundamental para a tomada de decisão.,5,Sim,Precisam ter conhecimento mínimo de metodologia de pesquisa e ensino.,1,Médico(a) Veterinário (a),5,Médico Veteriánrio,Veterinária,Doutorado,"Ensino, Diagnóstico de doenças, Pesquisas agropecuárias",Não ocupo nenhuma função administrativa,2,Acima de 4 anos,4,Entre quatro e cinco anos,1,4,4,Bem-estar animal,Ética em pesquisa,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,4,4,Raramente,5,5,Não,"A experimentação animal não é um ""mal"" desde que realizada sob condições éticas e de bem estar animal.",1,1,"Que a pesquisa potencialmente proporcione avanço na ciência que resulte em saltos de produtividade, melhora nas condições de criação dos animais, sanidade, entre outras.",3,"Produção de alimentos/agropecuária, Testes de cosméticos e produtos de higiene pessoal, Testes regulatórios de produtos alimentícios, Pesquisa básica, Pesquisa aplicada, Ensino, Zoológico, Pesquisas agropecuárias",1,Não,Objetos de pesquisa,,5,Nunca,Constantemente,Nunca,Constantemente,Raramente,Nunca,Nunca,Sim,Raramente,4,
251,True,Entre 31 e 40 anos,Masculino,Sul,RS,Porto Alegre,Ateismo ou agnosticismo,1,Não,,UFRGS,UFRGS,UFRGS,Centro de Reprodução e Experimentação em Animais de Laboratório,Pública,Não há representante da sociedade protetora de animais,Entre 15 e 19,4,1,Constantemente,Raramente,Votação e consenso,A cada quinze dias,Não há representante da sociedade protetora de animais,Não tenho opinião sobre isso,Não há no momento representante por falta de ONGs com CNPJ ativo,2,Sim,Maior conhecimento da experimentação animal,1,Médico(a) Veterinário (a),5,"Medicina Veterinária, Doutorado em Farmacologia",Veterinária; Anestesiologia,Pós doutorado,Testes de drogas,Não ocupo nenhuma função administrativa,2,Acima de 4 anos,5,5,3,3,4,Bem-estar animal,Nenhuma dessas disciplinas,Bioética,Não fiz essa modalidade acadêmica,"Ética animal, Ética em pesquisa",4,4,Nunca,4,5,Não sei dizer,É necessário. Se for mal ou bem não sei.,7,0,Controle e fiscalização,7,"Produção de alimentos/agropecuária, Entretenimento (rodeio, vaquejada, corridas, etc), Testes de toxicidade, Pesquisa básica, Pesquisa aplicada, Ensino, Pesquisas militares, Zoológico, Pesquisas agropecuárias",1,Não,Sujeitos de pesquisa,,4,Nunca,Constantemente,Nunca,Frequentemente,Nunca,Nunca,Nunca,Sim,Raramente,4,
252,True,Entre 31 e 40 anos,Masculino,Sudeste,SP,Andradina,Catolicismo,2,Não,,Comissão de Ética no Uso de Animais da Fundação Educacional de Andradina (CEUA/FEA),Fundação Educacional de Andradina,Fundação Educacional de Andradina,Medicina Veterinária,Privada,"Sim, titular e suplente",Entre 5 e 9,1,0,Raramente,Constantemente,Votação e consenso,Uma vez por mês,Sim,Não tenho opinião sobre isso,Não tenho opinião sobre isso,0,Sim,"Acredito ser importante, umas vez que todo graduado teve aula de metodologia.",1,Coordenador,4,Medicina Veterinária,Veterinária,Doutorado,"Ensino, Testes de drogas, Vacinas/imunologia, Diagnóstico de doenças, Pesquisa básica, Pesquisa aplicada",Coordenador,1,De 1 ano a 1 ano e meio,1.25,,5,3,3,Filosofia moral,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,5,4,Raramente,5,5,Não,Acredito que em algumas situações temos outros modelos a serem utilizados,2,2,Controle da Dor,6,"Produção de alimentos/agropecuária, Testes regulatórios de produtos alimentícios, Testes regulatórios de exposição a substâncias e materiais, Testes de toxicidade, Pesquisa básica, Pesquisa aplicada, Ensino, Zoológico, Pesquisas agropecuárias",2,Não,Participantes de pesquisa,,5,Raramente,Constantemente,Nunca,Constantemente,Nunca,Nunca,Nunca,Não,Frequentemente,4,
253,True,Entre 21 e 30 anos,Feminino,Sudeste,SP,Franca,Espiritismo,4,Não,,Comissão de Ética na Utilização de Animais - CEUA - UNIVERSIDADE DE FRANCA,UNIFRAN,UNIVERSIDADE DE FRANCA,HOSPITAL VETERINÁRIO,Pública,Não sei dizer,Entre 10 e 14,Não sei dizer,Não sei dizer,Raramente,Raramente,Só consenso,Uma vez por mês,Não sei dizer,Sim,A,0,Sim,Para obter melhor embasamento teórico acerca das situações,1,Biomédica,6,Biomédica - mestre em Ciências,Biomedicina,Mestrado,Não uso animais,Não ocupo nenhuma função administrativa,2,Entre 1 ano e meio e 2 anos,1.75,,5,4,4,"Bioética, Ética em pesquisa","Bioética, Ética animal, Ética em pesquisa, Filosofia moral",Nenhuma dessas disciplinas,"Bioética, Ética em pesquisa",Nenhuma dessas disciplinas,5,4,Raramente,5,2,Sim,Existem projetos que são de alta importância a inclusão da experimentação animal.,7,2,estudos preliminares e embasamento teórico para aplicação dos estudos em animais,2,"Produção de alimentos/agropecuária, Testes regulatórios de exposição a substâncias e materiais, Testes de toxicidade, Pesquisa aplicada",0,Não,Participantes de pesquisa,,2,Constantemente,Raramente,Não sei dizer,Não sei dizer,Frequentemente,Não sei dizer,Não sei dizer,Sim,Raramente,0,
254,True,Entre 31 e 40 anos,Feminino,Sudeste,SP,São Paulo,Catolicismo,2,Não,,CEUAIB,BUTANTAN,INSTITUTO BUTANTAN,INSTITUTO BUTANTAN,Pública,"Sim, apenas titular",Entre 10 e 14,2,2,Frequentemente,Nunca,Votação e consenso,Uma vez por mês,Sim,Sim,"OS MEMBROS SPA TEM UM OLHAR DIFERENCIADO DO USO DE ANIMAIS. FAZ CONSIDERAÇÕES RELEVANTES QUE OS PESQUISADORES POR ESTAREM HABITUADOS, PODEM DEIXAR ESCAPAR.",5,Não,"PRECISAM TER EMPATIA COM OS ANIMAIS. ACREDITO QUE O PAPEL DO RPA ESTA LIGADO AO BEM ESTAR, AO USO NECESSÁRIO DOS ANIMAIS (VISANDO A REDUÇÃO).",3,Médico(a) Veterinário (a),5,NA,NaN,Doutorado,Vacinas/imunologia,Não ocupo nenhuma função administrativa,2,De 2 anos a 2 anos e meio,2.25,,3,0,1,"Bem-estar animal, Bioética, Ética animal, Direitos dos animais","Bem-estar animal, Ética animal, Ética em pesquisa","Bem-estar animal, Ética animal, Ética em pesquisa",Nenhuma dessas disciplinas,Nenhuma dessas disciplinas,3,4,Frequentemente,4,0,Não,"NÃO ACREDITO QUE SEJA UM MAL. QDO UTILIZAMOS ANIMAIS COM ÉTICA E FORNECENDO BEM ESTAR, MINIMIZANDO DOR E SOFRIMENTO. ACREDITO QUE É UM BEM NECESSÁRIO.",1,1,COM CERTEZA,0,"Testes regulatórios de produtos alimentícios, Testes regulatórios de exposição a substâncias e materiais, Testes de toxicidade, Pesquisa básica, Pesquisas agropecuárias",3,Sim,Participantes de pesquisa,,4,Frequentemente,Raramente,Raramente,Frequentemente,Raramente,Raramente,Nunca,Não,Raramente,5,
255,True,Entre 51 e 60 anos,Feminino,Centro-oeste,DF,Brasília,Espiritismo,4,Não,,CEUA-UCB,UCB_BRASILIA,Univ. Católica de Brasília,Unidade de Apoio da Pró-Reitoria Acadêmica,Privada,Não há representante da sociedade protetora de animais,Entre 15 e 19,Não sei dizer,Não sei dizer,Raramente,Raramente,Votação e consenso,Uma vez por mês,Não há representante da sociedade protetora de animais,Sim,"Desde que ele(a) conheça o assunto da pesquisa que irá analisar, bem como toda a logística de uma pesquisa, acho viável que seja relator também.",3,Sim,"Para que os debates sejam equilibrados e produtivos, e o representante não se guie apenas por conhecimentos superficiais e/ou informações advindas de pessoas, organizações ou empresas tendenciosas e manipuladoras de opiniões.",1,Médico(a) Veterinário (a),5,Medicina Veterinária,Veterinária,Graduação,Não uso animais,Não ocupo nenhuma função administrativa,2,Acima de 4 anos,9,9 anos,4,4,4,"Bem-estar animal, Bioética",Não fiz essa modalidade acadêmica,Não fiz essa modalidade acadêmica,Não fiz essa modalidade acadêmica,Ética animal,5,5,Raramente,3,1,Sim,Porque para muitas áreas da ciência ainda não temos métodos substitutivos ao uso de animais em pesquisa científica.,6,1,Respeito aos 3Rs e às 5 Liberdades e que o objeto da pesquisa seja inovador e imprescindível para o desenvolvimento da ciência.,9,"Produção de alimentos/agropecuária, Testes de toxicidade, Pesquisa básica, Pesquisa aplicada, Esportes, Pesquisas agropecuárias",1,Não,Sujeitos de pesquisa,,4,Raramente,Constantemente,Nunca,Constantemente,Raramente,Nunca,Raramente,Sim,Raramente,5,
